departamento,provincia,distrito,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AYACUCHO,HUANTA,AYAHUANCO,14,PARTIDO POLITICO NACIONAL PERU LIBRE,664,87.025,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,AYAHUANCO,7,FUERZA POPULAR,99,12.975,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,SIVIA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,4174,85.832,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,SIVIA,7,FUERZA POPULAR,689,14.168,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,LLOCHEGUA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,3664,91.122,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,LLOCHEGUA,7,FUERZA POPULAR,357,8.878,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,CANAYRE,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1309,93.167,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,CANAYRE,7,FUERZA POPULAR,96,6.833,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,PUCACOLPA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,801,90.304,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,HUANTA,PUCACOLPA,7,FUERZA POPULAR,86,9.696,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,AYNA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,3767,75.431,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,AYNA,7,FUERZA POPULAR,1227,24.569,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,SANTA ROSA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,5097,86.331,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,SANTA ROSA,7,FUERZA POPULAR,807,13.669,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,SAMUGARI,14,PARTIDO POLITICO NACIONAL PERU LIBRE,3794,87.299,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,SAMUGARI,7,FUERZA POPULAR,552,12.701,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,ANCHIHUAY,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1722,82.117,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,ANCHIHUAY,7,FUERZA POPULAR,375,17.883,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,ORONCCOY,14,PARTIDO POLITICO NACIONAL PERU LIBRE,264,91.349,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
AYACUCHO,LA MAR,ORONCCOY,7,FUERZA POPULAR,25,8.651,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,QUIMBIRI,14,PARTIDO POLITICO NACIONAL PERU LIBRE,7377,84.715,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,QUIMBIRI,7,FUERZA POPULAR,1331,15.285,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,PICHARI,14,PARTIDO POLITICO NACIONAL PERU LIBRE,10744,87.72,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,PICHARI,7,FUERZA POPULAR,1504,12.28,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,VILLA VIRGEN,14,PARTIDO POLITICO NACIONAL PERU LIBRE,858,80.412,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,VILLA VIRGEN,7,FUERZA POPULAR,209,19.588,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,VILLA KINTIARINA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1096,81.73,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,VILLA KINTIARINA,7,FUERZA POPULAR,245,18.27,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,MEGANTONI,14,PARTIDO POLITICO NACIONAL PERU LIBRE,2672,76.169,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
CUSCO,LA CONVENCION,MEGANTONI,7,FUERZA POPULAR,836,23.831,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,TAYACAJA,TINTAY PUNCU,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1002,79.714,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,TAYACAJA,TINTAY PUNCU,7,FUERZA POPULAR,255,20.286,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,TAYACAJA,ROBLE,14,PARTIDO POLITICO NACIONAL PERU LIBRE,516,90.368,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,TAYACAJA,ROBLE,7,FUERZA POPULAR,55,9.632,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,CHURCAMPA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,2114,86.075,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,CHURCAMPA,7,FUERZA POPULAR,342,13.925,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,14,PARTIDO POLITICO NACIONAL PERU LIBRE,889,79.588,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,7,FUERZA POPULAR,228,20.412,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,EL CARMEN,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1012,85.981,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,EL CARMEN,7,FUERZA POPULAR,165,14.019,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,LA MERCED,14,PARTIDO POLITICO NACIONAL PERU LIBRE,305,75.309,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,LA MERCED,7,FUERZA POPULAR,100,24.691,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,LOCROJA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1705,88.71,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,LOCROJA,7,FUERZA POPULAR,217,11.29,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,2030,81.888,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,7,FUERZA POPULAR,449,18.112,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1027,77.334,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,7,FUERZA POPULAR,301,22.666,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,PACHAMARCA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,806,82.413,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
HUANCAVELICA,CHURCAMPA,PACHAMARCA,7,FUERZA POPULAR,172,17.587,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
JUNIN,HUANCAYO,PARIAHUANCA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,2494,87.264,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
JUNIN,HUANCAYO,PARIAHUANCA,7,FUERZA POPULAR,364,12.736,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1866,83.415,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,7,FUERZA POPULAR,371,16.585,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
JUNIN,SATIPO,VIZCATAN DEL ENE,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1352,95.48,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
JUNIN,SATIPO,VIZCATAN DEL ENE,7,FUERZA POPULAR,64,4.52,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,MAYNAS,NAPO,14,PARTIDO POLITICO NACIONAL PERU LIBRE,2481,57.725,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,MAYNAS,NAPO,7,FUERZA POPULAR,1817,42.275,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,MAYNAS,TORRES CAUSANA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,929,72.352,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,MAYNAS,TORRES CAUSANA,7,FUERZA POPULAR,355,27.648,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,REQUENA,YAQUERANA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,206,21.215,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,REQUENA,YAQUERANA,7,FUERZA POPULAR,765,78.785,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,BARRANCA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,3633,65.791,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,BARRANCA,7,FUERZA POPULAR,1874,34.029,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,MANSERICHE,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1861,55.685,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,MANSERICHE,7,FUERZA POPULAR,1481,44.315,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,MORONA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1414,72.699,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,MORONA,7,FUERZA POPULAR,531,27.301,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,PASTAZA,14,PARTIDO POLITICO NACIONAL PERU LIBRE,1392,58.267,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,DATEM DEL MARAÑON,PASTAZA,7,FUERZA POPULAR,997,41.733,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,14,PARTIDO POLITICO NACIONAL PERU LIBRE,213,37.173,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,7,FUERZA POPULAR,360,62.827,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
LORETO,PUTUMAYO,YAGUAS,14,PARTIDO POLITICO NACIONAL PERU LIBRE,65,30.806,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
LORETO,PUTUMAYO,YAGUAS,7,FUERZA POPULAR,146,69.194,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
MADRE DE DIOS,MANU,FITZCARRALD,14,PARTIDO POLITICO NACIONAL PERU LIBRE,260,80.247,0,JOSE PEDRO CASTILLO TERRONES,2021-06-08T13:48:00Z,100
MADRE DE DIOS,MANU,FITZCARRALD,7,FUERZA POPULAR,64,19.753,0,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,100
AREQUIPA,CASTILLA,UÑON,7,FUERZA POPULAR,17,14.912,14.783,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,95.0021
MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,7,FUERZA POPULAR,19,4.535,4.398,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,95.0021
APURIMAC,GRAU,SAN ANTONIO,7,FUERZA POPULAR,21,12.281,11.732,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,95.0021
AYACUCHO,SUCRE,BELEN,7,FUERZA POPULAR,22,18.033,17.46,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,95.0021
CAJAMARCA,CHOTA,CHOROPAMPA,7,FUERZA POPULAR,25,2.159,2.122,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,95.0021
CAJAMARCA,CHOTA,PION,7,FUERZA POPULAR,26,5.417,5.221,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T13:48:00Z,95.0021
